checkpoint,task_id,task_name,episode,success
lerobot/smolvla_base,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,False
lerobot/smolvla_base,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,1,False
lerobot/smolvla_base,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,2,False
lerobot/smolvla_base,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,3,False
lerobot/smolvla_base,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,4,False
lerobot/smolvla_base,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,0,False
lerobot/smolvla_base,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,1,False
lerobot/smolvla_base,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,2,False
lerobot/smolvla_base,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,3,False
lerobot/smolvla_base,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,4,False
lerobot/smolvla_base,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,0,False
lerobot/smolvla_base,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,1,False
lerobot/smolvla_base,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,2,False
lerobot/smolvla_base,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,3,False
lerobot/smolvla_base,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,4,False
step_1000,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,False
step_1000,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,1,False
step_1000,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,2,False
step_1000,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,3,False
step_1000,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,4,False
step_1000,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,0,False
step_1000,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,1,False
step_1000,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,2,False
step_1000,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,3,False
step_1000,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,4,False
step_1000,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,0,False
step_1000,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,1,False
step_1000,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,2,False
step_1000,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,3,False
step_1000,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,4,False
step_2500,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,False
step_2500,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,1,False
step_2500,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,2,False
step_2500,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,3,False
step_2500,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,4,False
step_2500,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,0,False
step_2500,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,1,False
step_2500,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,2,False
step_2500,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,3,False
step_2500,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,4,False
step_2500,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,0,False
step_2500,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,1,False
step_2500,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,2,False
step_2500,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,3,False
step_2500,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,4,False
step_5000,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,False
step_5000,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,1,False
step_5000,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,2,False
step_5000,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,3,False
step_5000,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,4,False
step_5000,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,0,False
step_5000,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,1,False
step_5000,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,2,False
step_5000,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,3,False
step_5000,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,4,False
step_5000,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,0,False
step_5000,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,1,False
step_5000,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,2,False
step_5000,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,3,False
